"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.3601995493391,0.379400203098436,-3.58513131577368,0.000336908642815978
"sloc",0.0108982326599568,0.0034665041860059,3.14386831089152,0.00166730452746838
"ClassDataShouldBePrivate",-26.7333171012143,183432.346060983,-0.000145739383894304,0.999883716796101
"ComplexClass",-2.86793312727678,1.73660671058014,-1.65145804735414,0.0986450803985186
"LongParameterList",-2.02922118683,1.50121472702339,-1.35171947776821,0.176465071676001
"(Intercept)",-1.19740734953473,0.380468439576893,-3.14719231604685,0.00164846498521102
"sloc",0.00734392913160918,0.00278011838762055,2.64158863317138,0.00825182130272376
