"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.420828567298973,0.315334461827543,1.33454670593259,0.18202475067132
"sloc",0.00538639148919396,0.00341847351417913,1.57567155832927,0.115101515367088
"AntiSingleton",-0.108648108201085,1.71062069515401,-0.0635138511470562,0.949357329893029
"ClassDataShouldBePrivate",-0.794285341451709,1.90267945760567,-0.417456202765355,0.676344753100963
"ComplexClass",-0.154666784075395,1.08840726602226,-0.142103777605829,0.886998034362216
"LongParameterList",-0.744012056650612,4.21229073642262,-0.176628847153718,0.859799933577072
"AntiSingleton:ClassDataShouldBePrivate",-27.9389808224723,848557.006048792,-3.29252844809649e-05,0.999973729423857
"ClassDataShouldBePrivate:ComplexClass",-28.0599402838661,848557.006611002,-3.30678317016471e-05,0.999973615687631
"ComplexClass:LongParameterList",-28.3526011852339,848557.006629459,-3.34127241466697e-05,0.999973340503274
