"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-8.48925190317727,1.52700703668727,-5.55940588302334,2.70694520502379e-08
"sloc",0.0308469860142245,0.00767850401869005,4.01731716739884,5.88644737402128e-05
"AntiSingleton",-30.0453391611255,27397079.0029717,-1.09666213532715e-06,0.999999124990214
"ClassDataShouldBePrivate",-28.7350766886062,25364766.4160079,-1.1328736964229e-06,0.999999096097568
"ComplexClass",-39.1246725672625,3468734.26148517,-1.12792360607385e-05,0.99999100047169
"LongParameterList",-31.4630959286454,7861874.64575543,-4.00198392194311e-06,0.999996806878816
"AntiSingleton:ClassDataShouldBePrivate",29.701615608836,53806795.007916,5.52004920651126e-07,0.999999559563796
"AntiSingleton:ComplexClass",23.2406494235759,29680648.4086468,7.83023642327344e-07,0.999999375237525
"AntiSingleton:LongParameterList",-22.2752944761798,23924595.9301433,-9.31062515798416e-07,0.999999257119593
"ClassDataShouldBePrivate:ComplexClass",15.3596243658759,82907830.0026095,1.85261444731968e-07,0.999999852182754
"ComplexClass:LongParameterList",38.7355056625513,19002063.8717298,2.03848939378526e-06,0.999998373520785
"(Intercept)",-7.49255789262789,0.99591747541893,-7.52327183482363,5.34221895636893e-14
"sloc",0.0189693589906042,0.00367154549209625,5.16658694041502,2.38407332889563e-07
