"","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife","NumOfAPs"
"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161290322580645
"25%",0.00038109756097561,0,0.00271701701595643,0.043383062452998,0,0,0,0.0326532430506058,0,0,0,0,0,0.110076894066376
"50%",0.00950104750365995,0,0.0132033011224292,0.0552016120272002,0,0.00446523460332643,0,0.0516923272681003,0,0,0,0,0,0.157100121529401
"75%",0.0235661789958102,0,0.0332574108087726,0.0686648877438351,0,0.0197006230795493,0,0.118910195594004,0,0,0,0,0,0.203479643204098
"100%",0.271255060728745,0.00475059382422803,0.118468029860435,0.101234567901235,0,0.411764705882353,0.000824742268041237,0.226905829596413,0,0.0480192076830732,0,0.00240096038415366,0.000379362670713202,0.411764705882353
"mean",0.0212465315207067,0.000127459194212973,0.0215276877931989,0.054061080761456,0,0.0176577411476945,1.99948371239585e-05,0.0736752344320405,0,0.00229928675533516,0,0.000239069539868817,4.86362398350259e-06,0.164684860624284
