,#Class,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,LOC,change
stanbol,157,1,0,1,3,0,3,0,11,0,0,0,0,0,19,7826,1
storm,315,0,0,30,15,0,0,0,4,0,0,0,0,0,49,9186,0
struts,1212,13,0,16,90,0,38,0,5,0,10,0,1,0,173,56849,0.000825083
subversion,101,0,0,0,4,0,2,0,7,0,0,0,0,0,13,7989,0
synapse,366,9,0,5,24,0,1,0,12,0,0,0,0,0,51,21829,0
syncope,656,1,0,2,34,0,3,0,125,0,0,0,0,0,165,38866,0.019817073
tajo,850,12,0,16,44,0,17,0,75,0,0,0,1,0,165,79116,0.642352941
tapestry,2170,8,0,24,108,0,0,0,80,0,0,0,0,0,220,85178,0.01843318
tez,452,20,0,7,15,0,11,0,42,0,0,0,0,0,95,30149,0.064159292
tika,442,5,0,6,32,0,3,0,0,0,0,0,0,0,46,31182,0.110859729
tiles,138,0,0,0,11,0,0,0,9,0,0,0,0,0,20,4728,0.007246377
tomcat,1395,13,0,16,103,0,22,0,88,0,8,0,1,0,251,110472,0.026523297
turbine,338,2,0,0,17,0,17,0,44,0,4,0,0,0,84,22149,0.24260355
tuscany,2813,57,0,180,152,0,0,1,352,0,0,0,0,0,742,123926,0.003554924
uima,1220,13,2,45,70,0,18,0,55,0,2,0,0,0,205,80757,0.054098361
whirr,152,4,0,0,6,0,0,0,5,0,0,0,0,0,15,5172,0.065789474
