class,SLOC
com.sun.syndication.feed.module.impl.ModuleUtils,28
com.sun.syndication.feed.rss.Content,41
com.sun.syndication.feed.rss.Description,38
com.sun.syndication.feed.rss.Guid,39
com.sun.syndication.feed.rss.Source,39
com.sun.syndication.feed.rss.Enclosure,46
com.sun.syndication.feed.rss.Category,38
org.rometools.feed.module.georss.geometries.AbstractGeometry,10
org.apache.marmotta.kiwi.versioning.sail.KiWiVersioningSail,278
org.apache.marmotta.commons.sesame.filter.AlwaysTrueFilter,6
org.apache.marmotta.commons.sesame.transactions.model.TransactionData,58
org.apache.marmotta.kiwi.model.rdf.KiWiResource,17
org.apache.marmotta.kiwi.sail.KiWiStore,99
org.apache.marmotta.kiwi.versioning.model.Version,28
org.apache.marmotta.kiwi.versioning.persistence.KiWiVersioningConnection,362
org.apache.marmotta.kiwi.versioning.persistence.KiWiVersioningPersistence,22
org.apache.marmotta.kiwi.versioning.sail.KiWiSnapshotConnection,300
org.apache.marmotta.commons.sesame.tripletable.TripleTable,162
org.apache.marmotta.kiwi.persistence.KiWiConnection,1456
org.apache.marmotta.loader.core.test.ArchiveTest,17
org.apache.marmotta.loader.api.LoaderOptions,13
org.apache.marmotta.loader.core.test.LoaderTestBase,66
org.apache.marmotta.kiwi.infinispan.util.AsyncMap,58
org.apache.marmotta.kiwi.config.CacheMode,5
org.apache.marmotta.kiwi.infinispan.externalizer.TripleExternalizer,18
org.apache.marmotta.kiwi.infinispan.externalizer.UriExternalizer,18
org.apache.marmotta.kiwi.infinispan.externalizer.BNodeExternalizer,18
org.apache.marmotta.kiwi.infinispan.externalizer.StringLiteralExternalizer,18
org.apache.marmotta.kiwi.infinispan.externalizer.DateLiteralExternalizer,18
org.apache.marmotta.kiwi.infinispan.externalizer.BooleanLiteralExternalizer,18
org.apache.marmotta.kiwi.infinispan.externalizer.IntLiteralExternalizer,18
org.apache.marmotta.kiwi.infinispan.externalizer.DoubleLiteralExternalizer,18
org.rometools.feed.module.georss.SimpleGenerator,67
org.rometools.feed.module.georss.geometries.AbstractRing,7
org.rometools.feed.module.activitystreams.types.Video,2
javolution.util.FastSortedMap,110
javolution.util.function.Equalities,20
javolution.util.internal.map.sorted.AtomicSortedMapImpl,47
javolution.util.internal.map.sorted.FastSortedMapImpl,81
javolution.util.internal.map.sorted.SharedSortedMapImpl,71
javolution.util.internal.map.sorted.UnmodifiableSortedMapImpl,52
javolution.util.FastMap,145
javolution.util.FastSortedSet,74
javolution.util.FastCollection,217
org.apache.marmotta.kiwi.hashing.TripleFunnel,20
org.apache.marmotta.kiwi.io.KiWiIO,534
org.apache.marmotta.kiwi.model.rdf.KiWiTriple,127
org.apache.marmotta.kiwi.hashing.PrimitiveSinkOutput,62
org.apache.marmotta.ldpath.model.functions.math.MathFunctionTest,188
org.apache.marmotta.platform.core.api.modules.ResourceEntry,44
org.apache.marmotta.platform.ldp.util.EntityTagUtils,16
org.apache.marmotta.platform.core.services.io.MarmottaIOServiceImpl,37
org.apache.marmotta.kiwi.test.sesame.KiWiSailInterruptTest,28
org.apache.marmotta.kiwi.test.junit.KiWiDatabaseRunner,210
org.apache.marmotta.commons.sesame.contextaware.ContextAwareSailConnection,35
org.apache.marmotta.splash.startup.StartupListenerTest,14
org.apache.marmotta.splash.common.MarmottaContext,9
org.apache.marmotta.splash.startup.StartupListener,78
org.apache.marmotta.commons.sesame.rio.rss.TestRSSParser,37
org.apache.marmotta.commons.sesame.rio.rss.RSSFormat,10
org.apache.marmotta.commons.sesame.rio.rss.AtomParser,206
com.sun.syndication.io.WireFeedInput,134
org.apache.marmotta.commons.sesame.rio.rss.AtomFormat,10
org.apache.marmotta.commons.sesame.rio.rss.FeedParserBase,200
com.sun.syndication.feed.atom.Category,53
com.sun.syndication.feed.atom.Person,67
com.sun.syndication.feed.atom.Entry,198
com.sun.syndication.feed.atom.Link,71
com.sun.syndication.feed.atom.Feed,164
com.sun.syndication.feed.atom.Content,69
org.apache.marmotta.ldpath.model.selectors.SelfSelector,14
org.apache.marmotta.client.test.config.ConfigurationIT,67
org.apache.marmotta.client.ClientConfiguration,63
org.apache.marmotta.client.clients.ConfigurationClient,139
org.apache.marmotta.client.exception.MarmottaClientException,14
org.apache.marmotta.client.model.config.Configuration,36
org.apache.marmotta.platform.core.test.base.JettyMarmotta,118
org.apache.marmotta.platform.core.webservices.config.ConfigurationWebService,132
org.apache.marmotta.kiwi.reasoner.model.program.Pattern,60
org.apache.marmotta.ldcache.backend.file.test.LDCacheFileTest,24
org.apache.marmotta.ldcache.backend.file.LDCachingFileBackend,118
org.apache.marmotta.ldcache.services.test.ng.BaseLDCacheTest,78
org.apache.marmotta.kiwi.test.PostgreSQLConcurrencyTest,23
org.apache.marmotta.kiwi.persistence.pgsql.PostgreSQLDialect,165
org.apache.marmotta.kiwi.test.helper.DBConnectionChecker,39
org.apache.marmotta.kiwi.test.ConcurrencyTestBase,106
org.apache.marmotta.ldpath.model.functions.html.HtmlTextFunction,14
org.apache.marmotta.ldpath.model.functions.AbstractTextFilterFunction,24
javolution.util.internal.collection.DistinctCollectionImpl,67
javolution.util.FastSet,66
javolution.util.internal.collection.CollectionView,207
com.sun.syndication.feed.synd.impl.ConverterForAtom10,417
com.sun.syndication.feed.synd.SyndCategoryImpl,45
com.sun.syndication.feed.synd.SyndContentImpl,53
com.sun.syndication.feed.synd.SyndEntryImpl,223
com.sun.syndication.feed.synd.SyndFeedImpl,254
com.sun.syndication.feed.synd.SyndLinkImpl,67
com.sun.syndication.feed.synd.SyndEnclosureImpl,54
com.sun.syndication.feed.synd.impl.ConverterForAtom03,372
org.apache.marmotta.platform.core.webservices.resource.InspectionWebService,402
org.apache.marmotta.ldcache.model.CacheEntry,50
org.apache.marmotta.commons.sesame.transactions.wrapper.TransactionalSailConnectionWrapper,15
org.apache.marmotta.loader.core.test.FilesTest,14
org.apache.marmotta.ldpath.model.functions.text.StrLenFunction,26
org.rometools.feed.module.yahooweather.types.Condition,55
com.sun.syndication.feed.impl.ToStringBean,143
org.rometools.feed.module.yahooweather.types.ConditionCode,118
org.apache.marmotta.platform.zookeeper.logging.ZookeeperLoggingModule,24
org.apache.marmotta.kiwi.test.cluster.SerializerTest,125
org.apache.marmotta.commons.vocabulary.SCHEMA,1907
org.apache.marmotta.commons.vocabulary.XSD,79
org.apache.marmotta.kiwi.test.TestValueFactory,117
org.apache.marmotta.kiwi.model.rdf.KiWiUriResource,71
org.apache.marmotta.kiwi.model.rdf.KiWiNode,26
org.apache.marmotta.kiwi.hazelcast.serializer.BNodeSerializer,17
org.apache.marmotta.kiwi.model.rdf.KiWiAnonResource,59
org.apache.marmotta.kiwi.hazelcast.serializer.BooleanLiteralSerializer,17
org.apache.marmotta.kiwi.model.rdf.KiWiBooleanLiteral,23
org.apache.marmotta.kiwi.hazelcast.serializer.DateLiteralSerializer,17
org.apache.marmotta.kiwi.model.rdf.KiWiDateLiteral,59
org.apache.marmotta.kiwi.hazelcast.serializer.DoubleLiteralSerializer,17
org.apache.marmotta.kiwi.model.rdf.KiWiDoubleLiteral,35
org.apache.marmotta.kiwi.hazelcast.serializer.IntLiteralSerializer,17
org.apache.marmotta.kiwi.model.rdf.KiWiIntLiteral,41
org.apache.marmotta.kiwi.hazelcast.serializer.StringLiteralSerializer,17
org.apache.marmotta.kiwi.model.rdf.KiWiStringLiteral,32
org.apache.marmotta.kiwi.hazelcast.serializer.TripleSerializer,17
org.apache.marmotta.kiwi.hazelcast.serializer.UriSerializer,17
com.sun.syndication.io.impl.RSS10Parser,66
org.apache.marmotta.ldpath.template.model.transformers.TemplateDateTransformer,23
org.apache.marmotta.ldpath.model.transformers.DateTimeTransformer,10
org.apache.marmotta.platform.core.util.http.UriUtilTests,113
org.apache.marmotta.kiwi.test.caching.EHCacheRepositoryTest,19
org.apache.marmotta.kiwi.config.CachingBackends,14
org.apache.marmotta.kiwi.persistence.KiWiPersistence,272
org.apache.marmotta.ldpath.backend.sesame.AbstractSesameBackend,79
org.apache.marmotta.ldpath.backend.sesame.SesameValueBackend,162
org.apache.marmotta.platform.core.webservices.resource.ResourceWebService,358
org.apache.marmotta.commons.http.ETagGenerator,60
org.apache.marmotta.commons.http.MarmottaHttpUtils,92
org.apache.marmotta.platform.core.exception.HttpErrorException,34
org.apache.marmotta.platform.core.webservices.resource.ContentWebService,201
org.apache.marmotta.platform.core.webservices.resource.MetaWebService,174
org.apache.marmotta.platform.core.webservices.resource.ResourceWebServiceHelper,86
org.apache.marmotta.kiwi.sparql.function.FulltextSearchFunction,15
org.apache.marmotta.kiwi.vocabulary.FN_MARMOTTA,12
org.rometools.feed.module.sse.modules.SSEModule,30
org.apache.marmotta.platform.core.webservices.system.SystemWebService,19
org.apache.marmotta.kiwi.test.TransactionTest,97
org.apache.marmotta.commons.sesame.transactions.sail.KiWiTransactionalSail,28
org.apache.marmotta.kiwi.sparql.evaluation.KiWiEvaluationStatistics,17
org.apache.marmotta.platform.backend.memory.MemoryStoreProvider,20
org.rometools.feed.module.activitystreams.types.Bookmark,23
org.apache.marmotta.platform.user.webservices.UserWebService,189
org.apache.marmotta.platform.core.exception.security.AccessDeniedException,14
org.apache.marmotta.platform.backend.http.HTTPStoreProvider,30
org.apache.marmotta.ldclient.provider.rdf.AbstractRDFProvider,27
org.apache.marmotta.commons.sesame.model.ModelCommons,85
org.apache.marmotta.ldclient.services.provider.AbstractHttpProvider,163
org.apache.marmotta.client.clients.SPARQLClient,149
org.apache.marmotta.client.model.rdf.BNode,24
org.apache.marmotta.client.model.rdf.Literal,70
org.apache.marmotta.client.model.rdf.RDFNode,2
org.apache.marmotta.client.model.rdf.URI,28
org.apache.marmotta.client.model.sparql.SPARQLResult,10
org.apache.marmotta.client.util.HTTPUtil,62
