class,SLOC
org.apache.jempbox.xmp.ResourceEvent,112
org.apache.fontbox.util.ResourceLoader,73
org.apache.jempbox.xmp.ResourceRef,90
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationSquareCircle,88
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationMarkup,121
org.apache.pdfbox.pdmodel.interactive.annotation.PDBorderEffectDictionary,38
org.apache.pdfbox.pdmodel.interactive.annotation.PDBorderStyleDictionary,61
org.apache.pdfbox.filter.TestFilters,95
org.apache.pdfbox.filter.DCTFilter,14
org.apache.fontbox.ttf.CMAPEncodingEntry,369
org.apache.fontbox.ttf.TTFDataStream,102
org.apache.fontbox.ttf.CMAPTable,40
org.apache.fontbox.ttf.TTFTable,47
org.apache.fontbox.ttf.TestMemoryTTFDataStream,29
org.apache.fontbox.ttf.MemoryTTFDataStream,101
org.apache.pdfbox.preflight.parser.TestPreflightConfiguration,38
org.apache.pdfbox.preflight.PreflightConfiguration,163
org.apache.pdfbox.preflight.PreflightContext,109
org.apache.pdfbox.preflight.exception.MissingValidationProcessException,13
org.apache.pdfbox.preflight.exception.ValidationException,18
org.apache.pdfbox.pdfparser.NonSequentialPDFParser,1426
org.apache.pdfbox.cos.COSDocument,391
org.apache.pdfbox.cos.COSNumber,43
org.apache.pdfbox.cos.COSObject,63
org.apache.pdfbox.cos.COSStream,297
org.apache.pdfbox.cos.COSString,272
org.apache.pdfbox.io.IOUtils,71
org.apache.pdfbox.io.PushBackInputStream,116
org.apache.pdfbox.io.RandomAccessBuffer,222
org.apache.pdfbox.io.RandomAccessBufferedFileInputStream,154
org.apache.pdfbox.pdmodel.encryption.DecryptionMaterial,3
org.apache.pdfbox.pdmodel.encryption.PDEncryptionDictionary,170
org.apache.pdfbox.pdmodel.encryption.PublicKeyDecryptionMaterial,61
org.apache.pdfbox.pdmodel.encryption.SecurityHandler,272
org.apache.pdfbox.pdmodel.encryption.SecurityHandlersManager,120
org.apache.pdfbox.pdmodel.encryption.StandardDecryptionMaterial,12
org.apache.pdfbox.persistence.util.COSObjectKey,70
org.apache.pdfbox.pdfparser.PDFParser,676
org.apache.pdfbox.pdfparser.PDFObjectStreamParser,66
org.apache.pdfbox.pdfparser.XrefTrailerResolver,162
org.apache.pdfbox.cos.COSInteger,81
org.apache.pdfbox.pdfparser.EndstreamOutputStream,77
org.apache.pdfbox.util.operator.MoveTextSetLeading,11
org.apache.pdfbox.cos.COSFloat,73
org.apache.pdfbox.PDFReader,314
org.apache.pdfbox.pdfviewer.PageWrapper,38
org.apache.pdfbox.pdfviewer.ReaderBottomPanel,27
org.apache.pdfbox.pdmodel.PDPageable,89
org.apache.pdfbox.util.ExtensionFileFilter,31
org.apache.pdfbox.util.ImageIOUtil,168
org.apache.pdfbox.Version,35
org.apache.pdfbox.pdmodel.common.function.type4.TestParser,28
org.apache.pdfbox.pdmodel.common.function.type4.Type4Tester,56
org.apache.pdfbox.pdmodel.common.function.type4.InstructionSequenceBuilder,71
org.apache.pdfbox.pdmodel.common.PDNamedTextStream,47
org.apache.pdfbox.pdmodel.common.PDTextStream,77
org.apache.pdfbox.PDFToImage,237
org.apache.pdfbox.util.PDFImageWriter,41
org.apache.pdfbox.examples.persistence.CopyDoc,61
org.apache.pdfbox.pdfwriter.COSWriter,941
org.apache.pdfbox.cos.COSBoolean,47
org.apache.pdfbox.pdmodel.encryption.PDCryptFilterDictionary,32
org.apache.pdfbox.pdmodel.TestPDDocument,83
org.apache.pdfbox.cos.TestCOSBase,35
org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination.PDPageFitHeightDestination,47
org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination.PDPageDestination,77
org.apache.pdfbox.util.operator.SetNonStrokingColor,66
org.apache.pdfbox.pdmodel.graphics.color.PDDeviceRGB,33
org.apache.pdfbox.pdmodel.graphics.color.PDDeviceCMYK,33
org.apache.pdfbox.pdmodel.graphics.color.PDICCBased,202
org.apache.pdfbox.pdmodel.graphics.color.PDCalRGB,133
org.apache.pdfbox.pdmodel.graphics.color.PDIndexed,183
org.apache.pdfbox.pdmodel.graphics.color.PDLab,150
org.apache.pdfbox.pdmodel.graphics.color.PDSeparation,85
org.apache.pdfbox.pdmodel.graphics.PDGraphicsState,225
org.apache.pdfbox.pdmodel.graphics.color.PDColorState,181
org.apache.pdfbox.util.operator.SetNonStrokingGrayColor,19
org.apache.pdfbox.util.operator.SetNonStrokingRGBColor,15
org.apache.pdfbox.util.operator.SetNonStrokingCMYKColor,15
org.apache.pdfbox.util.operator.SetNonStrokingICCBasedColor,15
org.apache.pdfbox.util.operator.SetNonStrokingCalRGBColor,13
org.apache.pdfbox.util.operator.SetNonStrokingSeparation,15
org.apache.pdfbox.util.operator.SetNonStrokingDeviceN,15
org.apache.pdfbox.util.operator.SetNonStrokingPattern,25
org.apache.pdfbox.util.operator.SetNonStrokingIndexed,15
org.apache.pdfbox.util.operator.SetNonStrokingLabColor,13
org.apache.pdfbox.util.TestQuickSort,43
org.apache.pdfbox.util.QuickSort,67
org.apache.fontbox.ttf.TrueTypeFont,197
org.apache.fontbox.ttf.HorizontalMetricsTable,35
org.apache.fontbox.ttf.GlyphTable,45
org.apache.fontbox.ttf.HeaderTable,178
org.apache.fontbox.ttf.HorizontalHeaderTable,178
org.apache.fontbox.ttf.IndexToLocationTable,37
org.apache.fontbox.ttf.MaximumProfileTable,158
org.apache.fontbox.ttf.NamingTable,95
org.apache.fontbox.ttf.OS2WindowsMetricsTable,370
org.apache.fontbox.ttf.PostScriptTable,175
org.apache.pdfbox.util.operator.BeginText,8
org.apache.pdfbox.util.Matrix,209
org.apache.pdfbox.preflight.action.pdfa1b.TestNamedAction,52
org.apache.pdfbox.preflight.action.pdfa1b.AbstractTestAction,63
org.apache.pdfbox.preflight.font.util.GlyphDescription,45
org.apache.fontbox.cff.CharStringCommand,183
org.apache.pdfbox.util.Splitter,106
org.apache.pdfbox.preflight.annotation.WidgetAnnotationValidator,38
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationWidget,86
org.apache.pdfbox.preflight.annotation.AnnotationValidator,136
org.apache.pdfbox.pdmodel.graphics.shading.GouraudShadingContext,119
org.apache.pdfbox.pdmodel.common.PDRange,47
org.apache.pdfbox.pdmodel.graphics.shading.TriangleBasedShadingContext,83
org.apache.pdfbox.pdmodel.graphics.shading.PDShadingResources,238
org.apache.pdfbox.pdmodel.graphics.shading.Vertex,24
org.apache.pdfbox.pdmodel.graphics.shading.ShadedTriangle,148
org.apache.pdfbox.preflight.action.UndefAction,16
org.apache.pdfbox.preflight.action.AbstractActionManager,57
org.apache.pdfbox.preflight.action.ActionManagerFactory,137
org.apache.pdfbox.pdmodel.interactive.form.PDCheckbox,85
org.apache.pdfbox.pdmodel.interactive.form.PDChoiceButton,28
org.apache.pdfbox.preflight.utils.TestCOSUtils,172
org.apache.pdfbox.preflight.utils.COSUtils,349
org.apache.pdfbox.pdmodel.graphics.pattern.PDPatternResources,70
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDExportFormatAttributeObject,97
org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureElement,440
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDLayoutAttributeObject,708
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDListAttributeObject,40
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDTableAttributeObject,86
org.apache.pdfbox.pdmodel.graphics.xobject.CompositeImage,65
org.apache.pdfbox.util.operator.pagedrawer.CurveToReplicateInitialPoint,17
org.apache.pdfbox.pdfviewer.PageDrawer,377
org.apache.pdfbox.exceptions.SignatureException,31
org.apache.pdfbox.preflight.util.ByteArrayDataSource,37
org.apache.xmpbox.schema.XMPRightsManagementSchema,140
org.apache.xmpbox.type.BooleanType,46
org.apache.xmpbox.type.TextType,29
org.apache.xmpbox.type.URLType,7
