round, Attr, sigAttr,Residual.deviance, df.residual, null.deviance, df.null, AIC, iter, theta, std.err, 2loglik
1,8,5,1742.10859443041,370,2633.83690156605,378,1825.34865484352,1,23275.913582292,NaN,-1805.34865484352 
2,5,5,1745.4791000793,373,2633.99806448031,378,1822.71622713213,1,28992.9221079633,NaN,-1808.71622713213 
