class,SLOC
org.apache.lucene.analysis.util.TokenFilterFactory,21
org.apache.lucene.search.FilteredDocIdSetIterator,46
org.apache.lucene.search.DocIdSetIterator,42
org.apache.lucene.codecs.lucene49.Lucene49Codec,63
org.apache.lucene.codecs.Codec,49
org.apache.lucene.codecs.DocValuesFormat,36
org.apache.lucene.codecs.FieldInfosFormat,6
org.apache.lucene.codecs.FilterCodec,39
org.apache.lucene.codecs.LiveDocsFormat,9
org.apache.lucene.codecs.NormsFormat,6
org.apache.lucene.codecs.SegmentInfoFormat,6
org.apache.lucene.codecs.StoredFieldsFormat,6
org.apache.lucene.codecs.TermVectorsFormat,6
org.apache.lucene.codecs.lucene40.Lucene40LiveDocsFormat,39
org.apache.lucene.codecs.lucene41.Lucene41StoredFieldsFormat,5
org.apache.lucene.codecs.lucene42.Lucene42NormsFormat,21
org.apache.lucene.codecs.lucene42.Lucene42TermVectorsFormat,5
org.apache.lucene.codecs.lucene46.Lucene46FieldInfosFormat,27
org.apache.lucene.codecs.lucene46.Lucene46SegmentInfoFormat,19
org.apache.lucene.codecs.perfield.PerFieldDocValuesFormat,212
org.apache.lucene.codecs.lucene49.Lucene49NormsFormat,17
org.apache.lucene.util.TestInPlaceMergeSorter,9
org.apache.lucene.util.BaseSortTestCase,130
org.apache.lucene.util.Sorter,203
org.apache.lucene.util.ArrayUtil,407
org.apache.lucene.util.ArrayInPlaceMergeSorter,16
org.apache.lucene.util.TestIntroSorter,9
org.apache.lucene.util.ArrayIntroSorter,26
org.apache.lucene.analysis.miscellaneous.TestKeywordRepeatFilter,12
org.apache.lucene.analysis.BaseTokenStreamTestCase,701
org.apache.lucene.analysis.snowball.SnowballFilter,39
org.apache.lucene.analysis.miscellaneous.KeywordRepeatFilter,29
org.apache.lucene.analysis.miscellaneous.RemoveDuplicatesTokenFilter,32
org.apache.lucene.analysis.gl.TestGalicianStemFilter,22
org.apache.lucene.analysis.standard.StandardTokenizer,118
org.apache.lucene.analysis.VocabularyAssert,45
org.apache.lucene.analysis.gl.GalicianStemFilter,21
org.apache.lucene.dependencies.InterpolatedProperties,27
org.apache.lucene.search.suggest.Lookup,100
org.apache.lucene.store.InputStreamDataInput,27
org.apache.lucene.store.OutputStreamDataOutput,18
org.apache.lucene.util.PriorityQueue,117
org.apache.lucene.queryparser.flexible.standard.builders.DummyQueryNodeBuilder,8
org.apache.lucene.queryparser.flexible.core.QueryNodeException,33
org.apache.lucene.queryparser.flexible.core.builders.QueryTreeBuilder,85
org.apache.lucene.queryparser.flexible.core.nodes.FieldQueryNode,99
org.apache.lucene.search.TermQuery,130
org.apache.lucene.analysis.standard.std40.StandardTokenizerImpl40,902
org.apache.lucene.store.BufferedChecksum,49
org.apache.lucene.search.spell.TestJaroWinklerDistance,24
org.apache.lucene.search.spell.JaroWinklerDistance,94
org.apache.lucene.analysis.uima.ae.OverridingParamsAEProviderTest,28
org.apache.lucene.analysis.uima.ae.OverridingParamsAEProvider,32
org.apache.lucene.analysis.standard.ClassicTokenizerImpl,437
org.apache.lucene.analysis.ja.JapaneseIterationMarkCharFilter,180
org.apache.lucene.analysis.CharFilter,16
org.apache.lucene.analysis.util.RollingCharBuffer,81
org.apache.lucene.analysis.fa.TestPersianCharFilter,19
org.apache.lucene.analysis.fa.PersianCharFilter,31
org.apache.lucene.codecs.MultiLevelSkipListReader,177
org.apache.lucene.store.BufferedIndexInput,357
org.apache.lucene.util.MathUtil,67
org.apache.lucene.analysis.ar.TestArabicNormalizationFilter,59
org.apache.lucene.analysis.ar.ArabicNormalizationFilter,16
org.apache.lucene.analysis.ar.ArabicLetterTokenizer,12
org.apache.lucene.analysis.bg.BulgarianStemmer,81
org.apache.lucene.analysis.util.StemmerUtil,44
org.apache.lucene.analysis.miscellaneous.TestCodepointCountFilter,45
org.apache.lucene.analysis.miscellaneous.CodepointCountFilter,29
org.apache.lucene.analysis.MockFixedLengthPayloadFilter,25
org.apache.lucene.analysis.TokenFilter,19
org.apache.lucene.util.WeakIdentityMap,129
org.apache.lucene.util.AttributeImpl,52
org.apache.lucene.analysis.miscellaneous.PrefixAwareTokenFilter,129
org.apache.lucene.analysis.Token,157
org.apache.lucene.analysis.tokenattributes.CharTermAttributeImpl,199
org.apache.lucene.analysis.tokenattributes.PackedTokenAttributeImpl,119
