"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.44864448349729,0.0104047199617028,235.339777765297,0
"sloc",0.0031909315615841,7.20910723732364e-05,44.262506528738,0
"AntiSingleton",-0.780243070858078,0.218103037600295,-3.57740579609894,0.000347021222795968
"ClassDataShouldBePrivate",-0.572373355980997,0.217862160744258,-2.62722702292891,0.00860838801852083
"ComplexClass",0.113064869985374,0.0350692272039186,3.22404794744781,0.0012639223528254
"LongParameterList",-0.213367981691019,0.0273776889053956,-7.79349865608882,6.51787749761862e-15
