"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.46734002896208,0.710137874520851,-2.06627484832032,0.038802534918912
"sloc",0.00683793296409868,0.0106976680291168,0.639198463205932,0.522693831740353
"ClassDataShouldBePrivate",1.8564698969678,3.72485449243529,0.498400649136243,0.618201679338583
"ComplexClass",-36.5322563824163,30011996.3593578,-1.21725512508352e-06,0.999999028770929
"LongParameterList",2.11614063840108,2.18095317433409,0.970282472500679,0.33190571150017
"ClassDataShouldBePrivate:ComplexClass",-2.40487211160717,56147303.934912,-4.28314797518148e-08,0.999999965825424
