"(Intercept)",-1.64237416076543,0.498223563888031,-3.29646022349623,0.000979114781943668
"sloc",0.0292437383435599,0.00542244188620462,5.39309391548476,6.92547317177256e-08
"AntiSingleton",-211.396676837809,1161018.9983682,-0.00018207856816721,0.999854722322409
"ClassDataShouldBePrivate",175.417934482248,63950368.7844178,2.74303241430236e-06,0.999997811376787
"ComplexClass",-1.31714479367757,2.81873655072037,-0.467281978991954,0.640298147931489
"LazyClass",-35.5262297418571,20234083.8177264,-1.75576171680844e-06,0.999998599104834
"LongParameterList",-0.442351601165019,1.3280936630886,-0.333072593793038,0.739079486372299
"AntiSingleton:ComplexClass",-777.0198669148,67193810.2415565,-1.15638607800551e-05,0.999990773374021
"AntiSingleton:LongParameterList",44.9115759009551,67109611.237655,6.69227180320117e-07,0.999999466033965
"ClassDataShouldBePrivate:ComplexClass",287.549819260462,197371668.968792,1.45689510942895e-06,0.999998837565885
"ComplexClass:LongParameterList",-42.6258771699818,18279465.6761008,-2.33189951639081e-06,0.999998139413379
"ClassDataShouldBePrivate:AntiSingleton_1",-11.7246090784184,528834291.127763,-2.21706672111129e-08,0.999999982310367
"AntiSingleton:ClassDataShouldBePrivate_1",2250.90418125951,10449573.3093949,0.000215406324699955,0.999828130620552
"AntiSingleton:ComplexClass_1",-969.084679785413,3484281.86104351,-0.000278130391981314,0.999778084057209
"ClassDataShouldBePrivate:ComplexClass_1",-1193.38081017973,732480050.360831,-1.62923319152767e-06,0.999998700059991
"AntiSingleton:LongParameterList_1",61.4140891018896,1161433.31524085,5.28778435197152e-05,0.999957809585067
"ClassDataShouldBePrivate:LongParameterList_1",2033.51112810732,373004233.246226,5.45171058893845e-06,0.999995650164291
"(Intercept)",0.508319875533218,0.035077878885662,14.491180529761,1.37754728796502e-47
"sloc",0.00529393026814452,0.000111198654088825,47.6078628066467,0
