class,SLOC
org.apache.maven.monitor.logging.DefaultLog,83
org.apache.maven.project.validation.DefaultModelValidator,31
org.apache.maven.model.building.DefaultModelBuildingRequest,231
org.apache.maven.project.validation.ModelValidationResult,42
org.apache.maven.repository.legacy.resolver.DefaultLegacyArtifactCollector,558
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,199
org.apache.maven.artifact.resolver.ArtifactResolutionResult,208
org.apache.maven.artifact.resolver.filter.AndArtifactFilter,55
org.apache.maven.artifact.versioning.ManagedVersionMap,27
org.apache.maven.repository.legacy.metadata.DefaultMetadataResolutionRequest,73
org.apache.maven.repository.legacy.metadata.ResolutionGroup,42
org.apache.maven.lifecycle.internal.LifecycleTaskSegmentCalculatorImplTest,22
org.apache.maven.lifecycle.internal.stub.LifecycleTaskSegmentCalculatorStub,42
org.apache.maven.lifecycle.internal.stub.ProjectDependencyGraphStub,139
org.apache.maven.lifecycle.internal.ProjectSegment,42
org.apache.maven.lifecycle.internal.ProjectBuildList,79
org.apache.maven.lifecycle.internal.BuildListCalculator,28
org.apache.maven.lifecycle.internal.ThreadOutputMuxer,375
org.apache.maven.project.DefaultProjectBuildingHelper,249
org.apache.maven.artifact.InvalidRepositoryException,30
org.apache.maven.plugin.version.DefaultPluginVersionRequest,82
org.apache.maven.project.ExtensionDescriptorBuilder,92
org.apache.maven.project.ExtensionDescriptor,46
org.apache.maven.repository.legacy.DefaultWagonManager,574
org.apache.maven.repository.legacy.ChecksumFailedException,13
org.apache.maven.repository.Proxy,78
org.apache.maven.artifact.repository.Authentication,44
org.apache.maven.model.building.DefaultModelBuilderFactory,131
org.apache.maven.model.composition.DefaultDependencyManagementImporter,37
org.apache.maven.model.inheritance.DefaultInheritanceAssembler,155
org.apache.maven.model.interpolation.StringSearchModelInterpolator,295
org.apache.maven.model.io.DefaultModelReader,76
org.apache.maven.model.locator.DefaultModelLocator,8
org.apache.maven.model.management.DefaultDependencyManagementInjector,56
org.apache.maven.model.management.DefaultPluginManagementInjector,77
org.apache.maven.model.normalization.DefaultModelNormalizer,68
org.apache.maven.model.path.DefaultModelPathTranslator,54
org.apache.maven.model.path.DefaultModelUrlNormalizer,39
org.apache.maven.model.path.DefaultPathTranslator,26
org.apache.maven.model.path.DefaultUrlNormalizer,31
org.apache.maven.model.plugin.DefaultPluginConfigurationExpander,34
org.apache.maven.model.plugin.DefaultReportConfigurationExpander,24
org.apache.maven.model.plugin.DefaultReportingConverter,159
org.apache.maven.model.profile.DefaultProfileInjector,173
org.apache.maven.model.profile.DefaultProfileSelector,78
org.apache.maven.model.profile.activation.FileProfileActivator,80
org.apache.maven.model.profile.activation.JdkVersionProfileActivator,136
org.apache.maven.model.profile.activation.OperatingSystemProfileActivator,114
org.apache.maven.model.profile.activation.PropertyProfileActivator,66
org.apache.maven.model.superpom.DefaultSuperPomProvider,37
org.apache.maven.model.validation.DefaultModelValidator,678
org.apache.maven.model.building.DefaultModelBuilder,779
org.apache.maven.model.building.DefaultModelProcessor,37
org.apache.maven.model.interpolation.AbstractStringBasedModelInterpolator,175
org.apache.maven.plugin.PluginParameterExpressionEvaluator,329
org.apache.maven.settings.DefaultMavenSettingsBuilder,80
org.apache.maven.settings.building.DefaultSettingsBuildingRequest,88
org.apache.maven.settings.building.SettingsBuildingException,37
org.apache.maven.artifact.repository.metadata.RepositoryMetadataStoreException,13
org.apache.maven.model.path.DefaultUrlNormalizerTest,47
org.apache.maven.settings.SettingsUtilsTest,19
org.apache.maven.settings.SettingsUtils,114
org.apache.maven.artifact.ArtifactStatus,57
org.apache.maven.artifact.handler.manager.DefaultArtifactHandlerManager,29
org.apache.maven.artifact.handler.DefaultArtifactHandler,83
org.apache.maven.artifact.repository.layout.FlatRepositoryLayout,44
org.apache.maven.artifact.versioning.Restriction,144
org.apache.maven.artifact.versioning.InvalidVersionSpecificationException,8
org.apache.maven.artifact.versioning.DefaultArtifactVersion,188
org.apache.maven.lifecycle.internal.LifecycleModuleBuilder,45
org.apache.maven.execution.BuildSuccess,8
org.apache.maven.lifecycle.internal.BuilderCommon,95
org.apache.maven.project.inheritance.t06.ProjectInheritanceTest,28
org.apache.maven.artifact.resolver.filter.ExcludesArtifactFilter,12
org.apache.maven.artifact.resolver.filter.IncludesArtifactFilter,47
org.apache.maven.plugin.descriptor.InvalidPluginDescriptorException,12
org.apache.maven.repository.MavenArtifactMetadata,74
org.apache.maven.artifact.resolver.filter.InversionArtifactFilter,34
org.apache.maven.project.inheritance.t10.ProjectInheritanceTest,29
org.apache.maven.settings.merge.MavenSettingsMerger,75
org.apache.maven.BuildFailureException,12
org.apache.maven.classrealm.ArtifactClassRealmConstituent,38
org.apache.maven.cli.PrintStreamLogger,123
