round, Attr, sigAttr,Residual.deviance, df.residual, null.deviance, df.null, AIC, iter, theta, std.err, 2loglik
1,4,1,201.549685652572,397,208.822265323332,401,763.556901647476,1,38108.8921211085,291481.00960859,-751.556901647476 
2,1,1,202.239242226837,400,208.822277926762,401,758.246418468887,1,38320.7046772835,294292.591447479,-752.246418468887 
