round, Attr, sigAttr,Residual.deviance, df.residual, null.deviance, df.null, AIC, iter, theta, std.err, 2loglik
1,7,2,49.9798643939177,273,66.7088836665057,280,87.9866124508844,1,1481.57482057179,22094.324231027,-69.9866124508844 
2,2,1,55.4901965355515,278,66.7074638915362,280,83.4984167836046,1,1216.17502199557,19499.6451940042,-75.4984167836046 
3,1,1,56.7736296762362,279,66.7076714847335,280,82.7816346673171,1,1248.88743694172,21623.2217712565,-76.7816346673171 
