class,SLOC
org.apache.activemq.openwire.v3.ActiveMQTempTopicMarshaller,24
org.apache.activemq.command.ActiveMQTempTopic,27
org.apache.activemq.openwire.v3.ActiveMQTempDestinationMarshaller,18
org.apache.activemq.web.AjaxTest,411
org.apache.activemq.transport.stomp.StompConnection,203
org.apache.activemq.transport.stomp.StompFrame,148
org.apache.activemq.web.JettyTestSupport,68
example.browser.Producer,40
org.apache.activemq.openwire.v6.FlushCommandMarshaller,24
org.apache.activemq.openwire.v6.BaseCommandMarshaller,32
org.apache.activemq.command.FlushCommand,10
org.apache.activemq.transport.failover.BackupTransport,52
org.apache.activemq.transport.DefaultTransportListener,10
org.apache.activemq.openwire.v6.ProducerInfoMarshaller,73
org.apache.activemq.command.ProducerInfo,77
org.apache.activemq.command.ProducerId,89
org.apache.activemq.openwire.v5.DiscoveryEventMarshaller,39
org.apache.activemq.openwire.v5.BaseDataStreamMarshaller,545
org.apache.activemq.command.DiscoveryEvent,32
org.apache.activemq.broker.jmx.ConnectionView,110
org.apache.activemq.util.IOExceptionSupport,24
org.apache.activemq.broker.region.ConnectionStatistics,35
org.apache.activemq.broker.jmx.BrokerMBeanSupport,206
org.apache.activemq.openwire.v9.BrokerIdTest,13
org.apache.activemq.filter.XalanXPathEvaluator,48
org.apache.activemq.util.ByteArrayInputStream,63
org.apache.activemq.filter.XPathExpression,112
org.apache.activemq.maven.ServerMojo,55
org.apache.activemq.console.Main,288
org.apache.activemq.openwire.tool.CppClassesGenerator,230
org.apache.activemq.openwire.tool.MultiSourceGenerator,158
org.apache.activemq.usecases.CompositePublishTest,88
org.apache.activemq.test.JmsSendReceiveTestSupport,142
org.apache.activemq.QueueConsumerPriorityTest,49
org.apache.activemq.broker.ft.QueueMasterSlaveTestUsingSharedFileTest,20
org.apache.activemq.broker.ft.QueueMasterSlaveTestSupport,96
org.apache.activemq.xbean.BrokerFactoryBean,103
org.apache.activemq.xbean.XBeanBrokerService,55
org.apache.activemq.openwire.v8.JournalQueueAckTest,14
org.apache.activemq.command.JournalQueueAck,26
org.apache.activemq.console.command.store.tar.TarInputStream,192
org.apache.activemq.console.command.store.tar.TarBuffer,226
org.apache.activemq.console.command.store.tar.TarEntry,277
org.apache.activemq.util.ConsumerThread,49
org.apache.activemq.network.NetworkDestinationFilterTest,14
org.apache.activemq.advisory.AdvisorySupport,447
org.apache.activemq.command.ActiveMQTempQueue,27
org.apache.activemq.network.NetworkBridgeConfiguration,241
org.apache.activemq.openwire.v5.ConnectionInfoTest,26
org.apache.activemq.openwire.v5.BaseCommandTestSupport,8
org.apache.activemq.command.ConnectionInfo,122
org.apache.activemq.broker.region.cursors.AbstractStoreCursor,242
org.apache.activemq.command.MessageId,148
org.apache.activemq.command.TransactionId,8
org.apache.activemq.broker.region.cursors.AbstractPendingMessageCursor,194
org.apache.activemq.broker.region.cursors.PrioritizedPendingList,118
org.apache.activemq.broker.region.cursors.OrderedPendingList,130
org.apache.activemq.usage.SystemUsage,200
org.apache.activemq.openwire.v1.BrokerIdMarshaller,34
org.apache.activemq.openwire.v1.BaseDataStreamMarshaller,545
org.apache.activemq.openwire.v2.ExceptionResponseMarshaller,34
org.apache.activemq.command.ExceptionResponse,21
org.apache.activemq.openwire.v2.ResponseMarshaller,33
org.apache.activemq.bugs.TransactionNotStartedErrorTest,207
org.apache.activemq.bugs.MessageSender,19
org.apache.activemq.transport.tcp.TcpTransportServer,318
org.apache.activemq.TransportLoggerSupport,31
org.apache.activemq.command.BrokerInfo,154
org.apache.activemq.openwire.OpenWireFormatFactory,106
org.apache.activemq.transport.TransportServerThreadSupport,41
org.apache.activemq.util.InetAddressUtil,16
org.apache.activemq.util.IntrospectionSupport,262
org.apache.activemq.util.ServiceStopper,48
org.apache.activemq.util.ServiceSupport,69
org.apache.activemq.transport.tcp.TcpTransportFactory,78
org.apache.activemq.transport.tcp.TcpTransport,430
org.apache.activemq.transport.tcp.ExceededMaximumConnectionsException,6
org.apache.activemq.transport.TransportFactory,144
org.apache.activemq.transport.TransportServerSupport,46
org.apache.activemq.jndi.JNDIBaseStorable,28
org.apache.activemq.util.URISupport,309
org.apache.activemq.command.DefaultUnresolvedDestinationTransformer,29
org.apache.activemq.broker.region.policy.NoSubscriptionRecoveryPolicy,19
org.apache.activemq.broker.ConnectionContext,210
org.apache.activemq.broker.region.Topic,628
org.apache.activemq.transport.discovery.zeroconf.JmDNSFactory,29
org.apache.activemq.broker.Main,35
org.apache.activemq.demo.DefaultQueueSender,51
org.apache.activemq.network.jms.QueueOutboundBridgeReconnectTest,232
org.apache.activemq.network.jms.SimpleJmsQueueConnector,316
org.apache.activemq.network.jms.OutboundQueueBridge,25
org.apache.activemq.network.jms.JmsConnector,379
org.apache.activemq.console.command.BstatCommand,55
org.apache.activemq.console.command.QueryCommand,160
org.apache.activemq.transport.tcp.TcpBufferedInputStream,96
org.apache.activemq.openwire.v6.ProducerAckTest,14
org.apache.activemq.openwire.v6.BaseCommandTestSupport,8
org.apache.activemq.command.ProducerAck,34
org.apache.activemq.transport.tcp.InactivityMonitorTest,158
org.apache.activemq.CombinationTestSupport,179
org.apache.activemq.command.WireFormatInfo,239
org.apache.activemq.usecases.QueueRepeaterTest,62
org.apache.activemq.openwire.v5.WireFormatInfoMarshaller,50
org.apache.activemq.openwire.v4.MessagePullMarshaller,54
org.apache.activemq.openwire.v4.BaseCommandMarshaller,32
org.apache.activemq.command.MessagePull,57
org.apache.activemq.command.ConsumerId,83
org.apache.activemq.openwire.v4.XATransactionIdMarshaller,43
org.apache.activemq.openwire.v4.TransactionIdMarshaller,18
org.apache.activemq.command.XATransactionId,172
org.apache.activemq.openwire.v2.ActiveMQTextMessageTest,12
org.apache.activemq.command.ActiveMQTextMessage,124
org.apache.activemq.openwire.v2.ActiveMQMessageTest,12
org.apache.activemq.openwire.v2.ConnectionErrorMarshaller,39
org.apache.activemq.openwire.v2.BaseCommandMarshaller,32
org.apache.activemq.filter.DestinationFilter,40
org.apache.activemq.openwire.v3.DataArrayResponseTest,19
org.apache.activemq.command.DataArrayResponse,18
org.apache.activemq.openwire.v3.ResponseTest,13
org.apache.activemq.store.memory.MemoryTopicMessageStore,87
org.apache.activemq.command.MessageAck,129
org.apache.activemq.command.SubscriptionInfo,83
org.apache.activemq.util.LRUCache,29
org.apache.activemq.util.SubscriptionKey,33
org.apache.activemq.store.memory.MemoryMessageStore,92
org.apache.activemq.store.memory.MemoryTopicSub,62
org.apache.activemq.broker.virtual.MirroredQueueTest,61
org.apache.activemq.broker.region.RegionBroker,697
org.apache.activemq.spring.ConsumerBean,92
