round, Attr, sigAttr,Residual.deviance, df.residual, null.deviance, df.null, AIC, iter, theta, std.err, 2loglik
1,12,1,87.8924577086918,466,99.1542178905826,478,471.9913163622,1,0.0268770835470187,0.00543950586898395,-443.9913163622 
2,1,1,87.1598435736962,477,92.712450087524,478,455.020476798331,1,0.024622579599421,0.00492620103614203,-449.020476798331 
