"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.74286043143861,0.181911361113725,9.58082233439523,9.62752978290835e-22
"sloc",0.0165035648830686,0.0021803552007075,7.56920930943423,3.75502713347171e-14
"ClassDataShouldBePrivate",-1.17406561115354,1.45594114488661,-0.806396340454392,0.420014356351437
"ComplexClass",-1.76741072258804,1.28290087062141,-1.3776674122389,0.168305997123292
"LongParameterList",0.705116149961452,0.740196741809766,0.952606395209815,0.340789535749083
"(Intercept)",1.79412892902849,0.178021270650631,10.0781716840427,6.89980134150616e-24
"sloc",0.0158110160610301,0.00196908313751784,8.02963356893148,9.77642219144557e-16
