"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.44837903580349,0.1529573797833,-9.4691674102646,2.82083056891543e-21
"sloc",0.00105813462445321,0.00167885793698155,0.630270495879866,0.528517623067228
"AntiSingleton",1.38594909296076,1.00709864802025,1.37618007499587,0.168765889246424
"ComplexClass",-0.809934817874717,1.02469953608956,-0.790412007958523,0.429287191726227
"LongParameterList",-0.397428337984801,0.42670335050756,-0.931392588110835,0.351650523482979
"AntiSingleton:ComplexClass",-37.4313063660235,67108864,-5.57769929856413e-07,0.999999554963985
"ComplexClass:LongParameterList",1.33048244945805,1.25246323774558,1.06229261615128,0.28810286544388
