class,SLOC
org.apache.camel.model.dataformat.JsonDataFormat,130
org.apache.camel.model.dataformat.PGPDataFormat,150
org.apache.camel.model.dataformat.ProtobufDataFormat,34
org.apache.camel.model.dataformat.RssDataFormat,4
org.apache.camel.model.dataformat.SerializationDataFormat,6
org.apache.camel.model.dataformat.SoapJaxbDataFormat,97
org.apache.camel.model.dataformat.StringDataFormat,14
org.apache.camel.model.dataformat.SyslogDataFormat,5
org.apache.camel.model.dataformat.TidyMarkupDataFormat,45
org.apache.camel.model.dataformat.XMLBeansDataFormat,12
org.apache.camel.model.dataformat.XMLSecurityDataFormat,290
org.apache.camel.model.dataformat.XStreamDataFormat,372
org.apache.camel.model.dataformat.XmlJsonDataFormat,191
org.apache.camel.model.dataformat.XmlRpcDataFormat,19
org.apache.camel.model.dataformat.ZipDataFormat,23
org.apache.camel.model.dataformat.ZipFileDataFormat,19
org.apache.camel.processor.MarshalProcessor,65
org.apache.camel.model.NoOutputDefinition,8
org.apache.camel.model.DataFormatDefinition,94
org.apache.camel.model.IdentifiedType,12
org.apache.camel.component.disruptor.vm.DisruptorVmComponent,19
org.apache.camel.component.disruptor.DisruptorComponent,166
org.apache.camel.component.disruptor.DisruptorReference,254
org.apache.camel.component.mina2.Mina2Configuration,192
org.apache.camel.LoggingLevel,3
org.apache.camel.util.jsse.SSLContextParameters,191
org.apache.camel.component.mina2.Mina2TextLineDelimiter,3
org.apache.camel.component.seda.SedaQueueTest,35
org.apache.camel.impl.SimpleRegistry,46
org.apache.camel.component.seda.SedaEndpoint,362
org.apache.camel.component.file.remote.FromFtpRecursiveNoopTest,37
org.apache.camel.component.file.remote.FtpServerTestSupport,71
org.apache.camel.component.olingo2.Olingo2Consumer,42
org.apache.camel.util.component.AbstractApiConsumer,62
org.apache.camel.util.component.ApiConsumerHelper,58
org.apache.camel.component.olingo2.Olingo2Configuration,97
org.apache.camel.component.olingo2.Olingo2Endpoint,122
org.apache.camel.util.component.AbstractApiEndpoint,133
org.apache.camel.spring.interceptor.DelayerInterceptorTest,17
org.apache.camel.itest.osgi.http.HttpTypeConverterTest,97
org.apache.camel.impl.DefaultMessage,181
org.apache.camel.component.rmi.RmiConsumer,76
org.apache.camel.component.bean.BeanInvocation,60
org.apache.camel.component.rmi.RmiEndpoint,95
org.apache.camel.component.mina2.Mina2ComponentWithConfigurationTest,23
org.apache.camel.component.mina2.Mina2Component,52
org.apache.camel.component.mina2.Mina2Endpoint,43
org.apache.camel.impl.DefaultComponent,187
org.apache.camel.spring.processor.SpringRouteStartupOrderWithDefaultTest,4
org.apache.camel.processor.RouteStartupOrderWithDefaultTest,28
org.apache.camel.component.xmpp.XmppGroupChatProducer,97
org.apache.camel.RuntimeExchangeException,21
org.apache.camel.impl.DefaultProducer,41
org.apache.camel.component.xmpp.XmppEndpoint,260
org.apache.camel.component.xmpp.XmppBinding,60
org.apache.camel.builder.xml.ExtractXPathWithNamespaceTest,32
org.apache.camel.builder.xml.Namespaces,73
org.apache.camel.component.aws.sdb.DeleteDomainCommand,11
org.apache.camel.component.aws.sdb.AbstractSdbCommand,43
org.apache.camel.component.aws.sdb.SdbConfiguration,58
org.apache.camel.processor.RecipientListExchangePropertyAggregationStrategyTest,43
org.apache.camel.dataformat.bindy.fix.BindySimpleKeyValuePairMarshallDslTest,38
org.apache.camel.dataformat.bindy.model.fix.simple.Order,79
org.apache.camel.model.dataformat.BindyType,3
org.apache.camel.management.ManagedStatisticsWithSplitterTest,42
org.apache.camel.component.hazelcast.HazelcastDefaultEndpoint,30
org.apache.camel.component.hazelcast.HazelcastComponentHelper,66
org.apache.camel.component.hazelcast.HazelcastConstants,48
org.apache.camel.dataformat.bindy.model.simple.oneclassandremovewhitespace.Order,96
org.apache.camel.component.http4.HttpsSslContextParametersGetTest,17
org.apache.camel.component.http4.handler.BasicValidationHandler,40
org.apache.camel.component.http4.HttpsGetTest,16
org.apache.camel.processor.PipelineHelper,55
org.apache.camel.util.ExchangeHelper,354
org.apache.camel.component.dns.DnsDigEndpoint,36
org.apache.camel.component.dns.DnsComponent,15
org.apache.camel.component.dns.DnsConstants,14
org.apache.camel.component.netty4.http.HttpServerSharedInitializerFactory,98
org.apache.camel.component.netty4.NettyConsumer,72
org.apache.camel.component.netty4.ServerInitializerFactory,3
org.apache.camel.component.netty4.ssl.SSLEngineFactory,45
org.apache.camel.impl.DefaultClassResolver,64
org.apache.camel.component.netty4.http.HttpServerInitializerFactory,121
org.apache.camel.component.netty4.http.NettySharedHttpServerBootstrapConfiguration,23
org.apache.camel.component.netty4.NettyServerBootstrapConfiguration,363
org.apache.camel.component.file.remote.RemoteFileConsumer,130
org.apache.camel.component.file.GenericFile,243
org.apache.camel.component.file.GenericFileConsumer,353
org.apache.camel.component.file.GenericFileOperationFailedException,37
org.apache.camel.component.file.remote.RemoteFileEndpoint,122
org.apache.camel.component.file.remote.RemoteFilePollingConsumerPollStrategy,15
org.apache.camel.component.file.remote.RemoteFileConfiguration,167
org.apache.camel.component.file.GenericFileEndpoint,642
org.apache.camel.component.file.remote.strategy.SftpProcessStrategyFactory,94
org.apache.camel.component.file.strategy.GenericFileDeleteProcessStrategy,84
org.apache.camel.component.file.strategy.GenericFileExpressionRenamer,21
org.apache.camel.component.file.strategy.GenericFileNoOpProcessStrategy,2
org.apache.camel.component.file.strategy.GenericFileRenameExclusiveReadLockStrategy,72
org.apache.camel.component.file.strategy.GenericFileRenameProcessStrategy,74
org.apache.camel.component.file.remote.strategy.SftpChangedExclusiveReadLockStrategy,104
org.apache.camel.component.file.strategy.GenericFileProcessStrategySupport,68
org.apache.camel.impl.DoFinallyRouteNode,19
org.apache.camel.component.metrics.timer.TimerRouteTest,75
