"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.30574494295476,0.459975682881754,-5.01275399714445,5.36564774468514e-07
"sloc",-0.0740894254810748,0.0255792385345373,-2.89646720253375,0.00377390087856169
"ComplexClass",-13.4879876294242,3403.42174502063,-0.00396306677218532,0.996837938486214
"LongParameterList",-17.2490988232832,3538.24470194967,-0.00487504406175708,0.996110293017061
"(Intercept)",-2.31235309414261,0.465173749260507,-4.97094493792609,6.66273712226549e-07
"sloc",-0.0788834936172713,0.0260544199536326,-3.0276434385281,0.00246468712199034
