class,SLOC
org.apache.spark.mllib.regression.JavaLinearRegressionSuite,68
org.apache.spark.examples.mllib.JavaFPGrowthExample,37
org.apache.spark.streaming.LocalJavaStreamingContext,17
org.apache.spark.network.shuffle.ExternalShuffleBlockHandlerSuite,65
org.apache.spark.ml.regression.JavaLinearRegressionSuite,45
org.apache.spark.network.shuffle.OneForOneBlockFetcherSuite,96
org.apache.spark.examples.streaming.JavaFlumeEventCount,26
org.apache.spark.examples.streaming.JavaNetworkWordCount,35
org.apache.spark.network.util.IOMode,3
org.apache.spark.examples.mllib.JavaPowerIterationClusteringExample,21
org.apache.spark.network.shuffle.ExternalShuffleSecuritySuite,65
org.apache.spark.mllib.recommendation.JavaALSSuite,147
org.apache.spark.network.yarn.util.HadoopConfigProvider,14
org.apache.spark.network.client.ChunkFetchFailureException,8
org.apache.spark.ml.JavaPipelineSuite,32
org.apache.spark.streaming.Java8APISuite,644
org.apache.spark.network.buffer.LazyFileRegion,55
org.apache.spark.mllib.linalg.JavaMatricesSuite,118
org.apache.spark.examples.JavaPageRank,64
org.apache.spark.sql.hive.execution.UDFTwoListList,6
org.apache.spark.examples.streaming.JavaCustomReceiver,69
org.apache.spark.network.sasl.SaslMessage,28
org.apache.spark.examples.JavaTC,47
org.apache.spark.mllib.random.JavaRandomRDDsSuite,186
org.apache.spark.mllib.classification.JavaSVMSuite,53
org.apache.spark.network.shuffle.BlockTransferMessagesSuite,17
org.apache.spark.mllib.clustering.JavaLDASuite,63
org.apache.spark.examples.mllib.JavaGradientBoostedTreesRunner,73
org.apache.spark.graphx.TripletFields,18
org.apache.spark.ml.tuning.JavaCrossValidatorSuite,35
org.apache.spark.JavaAPISuite,1350
org.apache.spark.network.ProtocolSuite,41
org.apache.spark.streaming.JavaTimeSuite,30
org.apache.spark.ml.classification.JavaStreamingLogisticRegressionSuite,38
org.apache.spark.network.util.LimitedInputStream,54
org.apache.spark.examples.streaming.JavaKinesisWordCountASL,63
org.apache.spark.streaming.JavaAPISuite,1486
test.org.apache.spark.sql.JavaApplySchemaSuite,142
test.org.apache.spark.sql.JavaUDFSuite,36
org.apache.spark.JavaJdbcRDDSuite,71
org.apache.spark.examples.JavaLogQuery,74
org.apache.spark.streaming.flume.JavaFlumeStreamSuite,10
org.apache.spark.mllib.feature.JavaTfIdfSuite,48
org.apache.spark.examples.mllib.JavaKMeans,40
test.org.apache.spark.sql.JavaDataFrameSuite,46
org.apache.spark.streaming.JavaDurationSuite,46
org.apache.spark.mllib.tree.JavaDecisionTreeSuite,53
org.apache.spark.network.sasl.ShuffleSecretManager,35
org.apache.spark.examples.mllib.JavaLR,33
org.apache.spark.mllib.clustering.JavaKMeansSuite,58
org.apache.spark.streaming.kafka.JavaKafkaRDDSuite,101
org.apache.spark.network.yarn.YarnShuffleService,85
org.apache.spark.ml.classification.JavaLogisticRegressionSuite,95
org.apache.spark.streaming.LocalJavaStreamingContext,17
org.apache.spark.graphx.impl.EdgeActiveness,7
SimpleApp,19
org.apache.spark.network.sasl.SparkSaslSuite,46
org.apache.spark.sql.hive.execution.UDFListString,10
org.apache.spark.streaming.zeromq.JavaZeroMQStreamSuite,20
