"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.13281558679613,0.378686012579416,-8.27285794227517,1.30785494249772e-16
"sloc",-0.000115775298393823,0.00288623266725503,-0.0401129471325443,0.968003079790884
"ClassDataShouldBePrivate",-17.1610658058043,4685.34303529369,-0.0036627127782392,0.997077584557849
"ComplexClass",-16.7602263247944,4371.41856894553,-0.00383404747462499,0.996940880209416
"LongParameterList",-17.0195904447576,2911.62711189555,-0.00584538809081131,0.995336081650353
